SITE_ID,INDUSTRY,SUB_INDUSTRY,SQ_FT,LAT,LNG,TIME_ZONE,TZ_OFFSET
474,Food Sales & Storage,Grocer/Market,44594,33.33367945,-117.2877342,America/Los_Angeles,-07:00
475,Food Sales & Storage,Grocer/Market,21505,33.78885024,-118.3345952,America/Los_Angeles,-07:00
478,Food Sales & Storage,Grocer/Market,47257,41.59927972,-72.58562231,America/New_York,-04:00
484,Food Sales & Storage,Grocer/Market,40590,34.95461612,-118.474401,America/Los_Angeles,-07:00
492,Food Sales & Storage,Grocer/Market,54469,40.72433907,-73.25143779,America/New_York,-04:00
496,Food Sales & Storage,Grocer/Market,52890,34.84766914,-117.7419882,America/Los_Angeles,-07:00
512,Food Sales & Storage,Grocer/Market,21980,35.64594568,-118.7978549,America/Los_Angeles,-07:00
648,Light Industrial,Food Processing,20691,34.64348922,-89.28865783,America/Chicago,-05:00
654,Light Industrial,Food Processing,33596,37.0142531,-87.06507281,America/Chicago,-05:00
673,Light Industrial,Food Processing,91304,38.67407233,-75.43989192,America/New_York,-04:00
674,Light Industrial,Food Processing,12884,38.04768265,-120.9719731,America/Los_Angeles,-07:00
690,Light Industrial,Manufacturing,183631,42.20958534,-78.99903042,America/New_York,-04:00
697,Light Industrial,Food Processing,4650,37.22778053,-122.1335847,America/Los_Angeles,-07:00
703,Light Industrial,Food Processing,117651,44.47177365,-75.61789475,America/New_York,-04:00
716,Light Industrial,Manufacturing,860258,41.71547771,-87.9332212,America/Chicago,-05:00
718,Light Industrial,Food Processing,28138,40.52468055,-74.35378623,America/New_York,-04:00
731,Light Industrial,Food Processing,6236,41.11320068,-81.7077033,America/New_York,-04:00
737,Light Industrial,Food Processing,23843,40.44768449,-75.99049611,America/New_York,-04:00
742,Light Industrial,Food Processing,17717,42.06854592,-71.2513348,America/New_York,-04:00
744,Light Industrial,Food Processing,22383,27.84862487,-82.0480141,America/New_York,-04:00
745,Light Industrial,Food Processing,1943,38.52008877,-76.08258013,America/New_York,-04:00
755,Light Industrial,Manufacturing,225974,43.29647851,-71.72979539,America/New_York,-04:00
761,Light Industrial,Manufacturing,127899,42.10762651,-87.78948284,America/Chicago,-05:00
765,Light Industrial,Other Light Industrial,7394,40.02768022,-80.45340754,America/New_York,-04:00
766,Light Industrial,Food Processing,12261,43.00244098,-114.1137001,America/Denver,-06:00
767,Light Industrial,Food Processing,189836,33.7222721,-118.3243791,America/Los_Angeles,-07:00
771,Light Industrial,Food Processing,1821,33.68743829,-112.0119562,America/Phoenix,-06:00
786,Light Industrial,Food Processing,31727,42.94925552,-112.1840075,America/Denver,-06:00
805,Light Industrial,Food Processing,58421,42.24499761,-71.06051803,America/New_York,-04:00
808,Light Industrial,Food Processing,76915,40.40698005,-75.0701837,America/New_York,-04:00
832,Light Industrial,Manufacturing,186614,35.81109974,-89.96906061,America/Chicago,-05:00
887,Light Industrial,Food Processing,381939,38.83195039,-75.82502245,America/New_York,-04:00
